"gloss_english","n_languages_with_gloss_data","n_languages_covered","languages_covered","in_english_4000","n_languages_covered_plus_english","includes_hack_translation","avg_percentile_across_covering_langs","words"
"boat",12,8,"Chinese_Traditional;Galician;German;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.894021047304358,"Chinese_Traditional:船;Galician:barco;German:Boot;Italian:battello;Portuguese:barco;Russian:лодка;Spanish:barco;Turkish:tekne"
"coat",12,8,"Dutch;French;German;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.893811714872955,"Dutch:mantel;French:manteau;German:Mantel;Italian:cappotto;Portuguese:casaco;Russian:пальто;Spanish:casaca;Turkish:palto"
"book",12,8,"Chinese_Traditional;French;Galician;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.88619444448707,"Chinese_Traditional:書;French:livre;Galician:libro;Italian:libro;Portuguese:livro;Russian:книга;Spanish:libreta;Turkish:kitap"
"sand",12,8,"Chinese_Traditional;Dutch;French;Galician;German;Italian;Portuguese;Russian",TRUE,9,TRUE,0.864560820505608,"Chinese_Traditional:沙;Dutch:zand;French:sable;Galician:area;German:Sand;Italian:sabbia;Portuguese:areia;Russian:песок"
"blood",12,8,"Chinese_Traditional;French;Galician;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.828716218456748,"Chinese_Traditional:血;French:sang;Galician:sangue;Italian:sangue;Portuguese:sangue;Russian:кровь;Spanish:sangre;Turkish:kan"
"paper",12,8,"Chinese_Traditional;Galician;German;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.825370800277167,"Chinese_Traditional:紙;Galician:papel;German:Papier;Italian:carta;Portuguese:papel;Russian:бумага;Spanish:papel;Turkish:kâğıt"
"letter",12,8,"French;Galician;German;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.812411820972537,"French:lettre;Galician:carta;German:Brief;Italian:lettera;Portuguese:carta;Russian:письмо;Spanish:letra;Turkish:mektup"
"rain",12,8,"Chinese_Traditional;French;Galician;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.798926737129803,"Chinese_Traditional:雨;French:pluie;Galician:chuvia;Italian:pioggia;Portuguese:chuva;Russian:дождь;Spanish:lluvia;Turkish:yağmur"
"mother",12,8,"Chinese_Simplified;Chinese_Traditional;French;Galician;Italian;Portuguese;Russian;Turkish",TRUE,9,TRUE,0.741517308357975,"Chinese_Simplified:母亲;Chinese_Traditional:母;French:mère;Galician:nai;Italian:madre;Portuguese:mãe;Russian:мать;Turkish:anne"
"money",12,8,"Chinese_Traditional;Galician;Italian;Polish;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.702559113002112,"Chinese_Traditional:錢;Galician:carto;Italian:denaro;Polish:pieniądze;Portuguese:dinheiro;Russian:деньги;Spanish:dinero;Turkish:para"
"father",12,8,"Chinese_Traditional;French;Galician;Italian;Polish;Portuguese;Russian;Turkish",TRUE,9,TRUE,0.667946123452139,"Chinese_Traditional:父;French:père;Galician:pai;Italian:padre;Polish:ojciec;Portuguese:pai;Russian:отец;Turkish:baba"
"dance",12,8,"Chinese_Traditional;French;Galician;German;Polish;Portuguese;Russian;Turkish",TRUE,9,TRUE,0.581506720052934,"Chinese_Traditional:舞;French:bal;Galician:baile;German:Tanz;Polish:taniec;Portuguese:dança;Russian:танец;Turkish:dans"
"lemon",12,7,"Dutch;French;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,8,TRUE,0.961598507593528,"Dutch:citroen;French:citron;Italian:limone;Portuguese:limão;Russian:лимон;Spanish:limón;Turkish:limon"
"pen",12,7,"Chinese_Traditional;Dutch;French;German;Italian;Portuguese;Spanish",TRUE,8,TRUE,0.942796108344682,"Chinese_Traditional:筆;Dutch:pen;French:stylo;German:Stift;Italian:penna;Portuguese:caneta;Spanish:bolígrafo"
"door",12,7,"Dutch;Galician;German;Portuguese;Russian;Spanish;Turkish",TRUE,8,TRUE,0.927591981398614,"Dutch:deur;Galician:porta;German:Tür;Portuguese:porta;Russian:дверь;Spanish:puerta;Turkish:kapı"
"eye",12,7,"Chinese_Traditional;Dutch;French;Galician;Italian;Portuguese;Russian",TRUE,8,TRUE,0.925093008182105,"Chinese_Traditional:眼;Dutch:oog;French:oeil;Galician:ollo;Italian:occhio;Portuguese:olho;Russian:глаз"
"mirror",12,7,"Dutch;Galician;German;Italian;Portuguese;Russian;Turkish",TRUE,8,TRUE,0.921100629648794,"Dutch:spiegel;Galician:espello;German:Spiegel;Italian:specchio;Portuguese:espelho;Russian:зеркало;Turkish:ayna"
"egg",12,7,"Chinese_Traditional;Dutch;French;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.921033678333264,"Chinese_Traditional:蛋;Dutch:ei;French:oeuf;Italian:uovo;Portuguese:ovo;Russian:яйцо;Spanish:huevo"
"cup",12,7,"Chinese_Traditional;French;German;Portuguese;Russian;Spanish;Turkish",TRUE,8,TRUE,0.917891954840274,"Chinese_Traditional:杯;French:tasse;German:Tasse;Portuguese:chávena;Russian:чашка;Spanish:taza;Turkish:fincan"
"newspaper",12,7,"Dutch;Galician;German;Portuguese;Russian;Spanish;Turkish",TRUE,8,TRUE,0.914774333691769,"Dutch:krant;Galician:periódico;German:Zeitung;Portuguese:jornal;Russian:газета;Spanish:periódico;Turkish:gazete"
"bear",12,7,"Chinese_Traditional;Dutch;French;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.913942984792669,"Chinese_Traditional:熊;Dutch:beer;French:ours;Italian:orso;Portuguese:urso;Russian:медведь;Spanish:oso"
"butterfly",12,7,"Chinese_Simplified;Chinese_Traditional;French;Italian;Portuguese;Spanish;Turkish",TRUE,8,TRUE,0.909775790002975,"Chinese_Simplified:蝴蝶;Chinese_Traditional:蝶;French:papillon;Italian:farfalla;Portuguese:borboleta;Spanish:mariposa;Turkish:kelebek"
"fish",12,7,"Chinese_Traditional;French;Galician;German;Italian;Portuguese;Russian",TRUE,8,TRUE,0.907866528027816,"Chinese_Traditional:魚;French:poisson;Galician:peixe;German:Fisch;Italian:pesce;Portuguese:peixe;Russian:рыба"
"nose",12,7,"Chinese_Traditional;Dutch;French;Galician;German;Portuguese;Spanish",TRUE,8,TRUE,0.905507286028378,"Chinese_Traditional:鼻;Dutch:neus;French:nez;Galician:nariz;German:Nase;Portuguese:nariz;Spanish:nariz"
"shoe",12,7,"Chinese_Traditional;French;Galician;German;Portuguese;Spanish;Turkish",TRUE,8,TRUE,0.904803098408473,"Chinese_Traditional:鞋;French:chaussure;Galician:zapato;German:Schuh;Portuguese:sapato;Spanish:zapato;Turkish:ayakkabı"
"neck",12,7,"Chinese_Traditional;Dutch;French;Galician;Italian;Portuguese;Russian",TRUE,8,TRUE,0.903392703754724,"Chinese_Traditional:頸;Dutch:hals;French:cou;Galician:pescozo;Italian:collo;Portuguese:pescoço;Russian:шея"
"cow",12,7,"French;Galician;German;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.903221792481784,"French:vache;Galician:vaca;German:Kuh;Italian:mucca;Portuguese:vaca;Russian:корова;Spanish:vaca"
"pencil",12,7,"Chinese_Simplified;Dutch;French;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.900541792774662,"Chinese_Simplified:铅笔;Dutch:potlood;French:crayon;Italian:matita;Portuguese:lápis;Russian:карандаш;Spanish:lápiz"
"boot",12,7,"Chinese_Traditional;Dutch;French;German;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.900497005554825,"Chinese_Traditional:靴;Dutch:laars;French:botte;German:Stiefel;Portuguese:bota;Russian:сапог;Spanish:bota"
"lamp",12,7,"Chinese_Traditional;French;German;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.893287279349432,"Chinese_Traditional:燈;French:lampe;German:Lampe;Italian:lampada;Portuguese:candeeiro;Russian:лампа;Spanish:lámpara"
"sheep",12,7,"Chinese_Traditional;Dutch;French;German;Italian;Portuguese;Spanish",TRUE,8,TRUE,0.892583822787645,"Chinese_Traditional:羊;Dutch:schaap;French:mouton;German:Schaf;Italian:pecora;Portuguese:carneiro;Spanish:oveja"
"milk",12,7,"Chinese_Traditional;French;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,8,TRUE,0.891968900911741,"Chinese_Traditional:奶;French:lait;Italian:latte;Portuguese:leite;Russian:молоко;Spanish:leche;Turkish:süt"
"cheese",12,7,"Dutch;Galician;German;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.888659329056187,"Dutch:kaas;Galician:queixo;German:Käse;Italian:formaggio;Portuguese:queijo;Russian:сыр;Spanish:queso"
"hammer",12,7,"Chinese_Traditional;French;German;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.888374920155176,"Chinese_Traditional:錘;French:marteau;German:Hammer;Italian:martello;Portuguese:martelo;Russian:молоток;Spanish:martillo"
"mouse",12,7,"Chinese_Traditional;Dutch;Galician;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.87296495064714,"Chinese_Traditional:鼠;Dutch:muis;Galician:rato;Italian:topo;Portuguese:rato;Russian:мышь;Spanish:ratón"
"wolf",12,7,"Chinese_Traditional;French;Galician;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.871625554376855,"Chinese_Traditional:狼;French:loup;Galician:lobo;Italian:lupo;Portuguese:lobo;Russian:волк;Spanish:lobo"
"glass",12,7,"French;Galician;German;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.868372016346377,"French:verre;Galician:vidro;German:Glas;Italian:bicchiere;Portuguese:vidro;Russian:стекло;Spanish:vaso"
"frog",12,7,"Chinese_Traditional;Dutch;French;German;Italian;Portuguese;Spanish",TRUE,8,TRUE,0.862961578777245,"Chinese_Traditional:蛙;Dutch:kikker;French:grenouille;German:Frosch;Italian:rana;Portuguese:rã;Spanish:rana"
"flower",12,7,"French;Galician;German;Italian;Portuguese;Russian;Turkish",TRUE,8,TRUE,0.85466420278816,"French:fleur;Galician:flor;German:Blume;Italian:fiore;Portuguese:flor;Russian:цветок;Turkish:çiçek"
"wall",12,7,"Chinese_Traditional;French;Galician;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.843619024554913,"Chinese_Traditional:牆;French:mur;Galician:muro;Italian:muro;Portuguese:parede;Russian:стена;Spanish:pared"
"building",12,7,"Chinese_Traditional;Galician;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,8,TRUE,0.839707875062187,"Chinese_Traditional:樓;Galician:edificio;Italian:edificio;Portuguese:edifício;Russian:здание;Spanish:edificio;Turkish:bina"
"fox",12,7,"Chinese_Simplified;Chinese_Traditional;French;Italian;Portuguese;Spanish;Turkish",TRUE,8,TRUE,0.836832454237946,"Chinese_Simplified:狐狸;Chinese_Traditional:狐;French:renard;Italian:volpe;Portuguese:raposa;Spanish:zorro;Turkish:tilki"
"bridge",12,7,"Chinese_Traditional;French;German;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.836103585237835,"Chinese_Traditional:橋;French:pont;German:Brücke;Italian:ponte;Portuguese:ponte;Russian:мост;Spanish:puente"
"child",12,7,"Galician;German;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,8,TRUE,0.826048572138923,"Galician:neno;German:Kind;Italian:bambino;Portuguese:criança;Russian:ребёнок;Spanish:niño;Turkish:çocuk"
"stomach",12,7,"Chinese_Traditional;French;Galician;German;Italian;Portuguese;Spanish",TRUE,8,TRUE,0.818014592471925,"Chinese_Traditional:胃;French:ventre;Galician:estómago;German:Magen;Italian:stomaco;Portuguese:estômago;Spanish:estómago"
"water",12,7,"Chinese_Traditional;French;Galician;Italian;Portuguese;Russian;Turkish",TRUE,8,TRUE,0.803138708837064,"Chinese_Traditional:水;French:eau;Galician:auga;Italian:acqua;Portuguese:Água;Russian:вода;Turkish:su"
"lake",12,7,"Chinese_Simplified;Chinese_Traditional;French;Italian;Portuguese;Russian;Turkish",TRUE,8,TRUE,0.789942120917516,"Chinese_Simplified:湖泊;Chinese_Traditional:湖;French:lac;Italian:lago;Portuguese:lago;Russian:озеро;Turkish:göl"
"rope",12,7,"Chinese_Simplified;Dutch;French;German;Italian;Spanish;Turkish",TRUE,8,TRUE,0.783246221752684,"Chinese_Simplified:绳子;Dutch:touw;French:corde;German:Seil;Italian:fune;Spanish:cuerda;Turkish:ip"
"ice",12,7,"French;Galician;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,8,FALSE,0.780804646061717,"French:glace;Galician:xeo;Italian:ghiaccio;Portuguese:gelo;Russian:лёд;Spanish:hielo;Turkish:buz"
"man",12,7,"Chinese_Traditional;French;Galician;Italian;Polish;Portuguese;Russian",TRUE,8,TRUE,0.767446368459839,"Chinese_Traditional:男;French:homme;Galician:home;Italian:uomo;Polish:człowiek;Portuguese:homem;Russian:мужчина"
"weapon",12,7,"French;Galician;German;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.750192087238347,"French:arme;Galician:arma;German:Waffe;Italian:arma;Portuguese:arma;Russian:оружие;Spanish:arma"
"muscle",12,7,"French;German;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,8,TRUE,0.726196348765364,"French:muscle;German:Muskel;Italian:muscolo;Portuguese:músculo;Russian:мышца;Spanish:músculo;Turkish:kas"
"office",12,7,"Galician;German;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,8,TRUE,0.715433597051522,"Galician:despacho;German:Büro;Italian:ufficio;Portuguese:consultório;Russian:офис;Spanish:despacho;Turkish:büro"
"fire",12,7,"Chinese_Traditional;French;Italian;Polish;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.714763196623939,"Chinese_Traditional:火;French:feu;Italian:fuoco;Polish:ogień;Portuguese:incêndio;Russian:пожар;Spanish:incendio"
"gold",12,7,"Chinese_Simplified;French;Galician;German;Italian;Portuguese;Russian",TRUE,8,TRUE,0.708745399578071,"Chinese_Simplified:黄金;French:or;Galician:ouro;German:Gold;Italian:oro;Portuguese:ouro;Russian:золото"
"fruit",12,7,"French;Galician;German;Portuguese;Russian;Spanish;Turkish",TRUE,8,TRUE,0.705876722531871,"French:fruit;Galician:froita;German:Frucht;Portuguese:fruto;Russian:плод;Spanish:fruto;Turkish:meyve"
"page",12,7,"French;Galician;Italian;Polish;Portuguese;Russian;Spanish",TRUE,8,FALSE,0.67458972346984,"French:page;Galician:páxina;Italian:pagina;Polish:strona;Portuguese:página;Russian:страница;Spanish:página"
"bomb",12,7,"Chinese_Simplified;French;German;Italian;Portuguese;Russian;Spanish",TRUE,8,TRUE,0.647238907216058,"Chinese_Simplified:炸弹;French:bombe;German:Bombe;Italian:bomba;Portuguese:bomba;Russian:бомба;Spanish:bomba"
"kiss",12,7,"Chinese_Traditional;French;German;Italian;Polish;Portuguese;Spanish",TRUE,8,TRUE,0.635064400065602,"Chinese_Traditional:吻;French:bise;German:Kuss;Italian:bacio;Polish:pocałunek;Portuguese:beijo;Spanish:beso"
"circus",12,7,"Chinese_Simplified;French;Italian;Polish;Portuguese;Russian;Spanish",TRUE,8,FALSE,0.586344704941559,"Chinese_Simplified:马戏;French:cirque;Italian:circo;Polish:cyrk;Portuguese:circo;Russian:цирк;Spanish:circo"
"friend",12,7,"German;Italian;Polish;Portuguese;Russian;Spanish;Turkish",TRUE,8,TRUE,0.54098419240873,"German:Freund;Italian:amico;Polish:przyjaciel;Portuguese:amigo;Russian:приятель;Spanish:amiga;Turkish:arkadaş"
"bed",12,6,"Chinese_Traditional;Galician;German;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.953426924419741,"Chinese_Traditional:床;Galician:cama;German:Bett;Portuguese:cama;Russian:кровать;Spanish:cama"
"bicycle",12,6,"Dutch;French;Galician;Italian;Portuguese;Turkish",TRUE,7,TRUE,0.952346443649528,"Dutch:fiets;French:vélo;Galician:bicicleta;Italian:bicicletta;Portuguese:bicicleta;Turkish:bisiklet"
"scissors",12,6,"Dutch;French;German;Italian;Portuguese;Spanish",TRUE,7,TRUE,0.95202096061991,"Dutch:schaar;French:ciseaux;German:Schere;Italian:forbici;Portuguese:tesoura;Spanish:tijeras"
"dog",12,6,"Chinese_Traditional;French;Italian;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.946448330965317,"Chinese_Traditional:狗;French:chien;Italian:cane;Portuguese:cão;Russian:собака;Spanish:perro"
"tractor",12,6,"Dutch;German;Italian;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.936876616495284,"Dutch:tractor;German:Traktor;Italian:trattore;Portuguese:tractor;Russian:трактор;Spanish:tractor"
"ant",12,6,"Chinese_Simplified;Chinese_Traditional;Dutch;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.935137263366654,"Chinese_Simplified:蚂蚁;Chinese_Traditional:蟻;Dutch:mier;Portuguese:formiga;Russian:муравей;Spanish:hormiga"
"mouth",12,6,"Chinese_Traditional;French;German;Italian;Portuguese;Russian",TRUE,7,TRUE,0.932869706598132,"Chinese_Traditional:嘴;French:bouche;German:Mund;Italian:bocca;Portuguese:boca;Russian:рот"
"fork",12,6,"Chinese_Traditional;French;German;Italian;Portuguese;Spanish",TRUE,7,TRUE,0.928778526561044,"Chinese_Traditional:叉;French:fourchette;German:Gabel;Italian:forchetta;Portuguese:garfo;Spanish:tenedor"
"duck",12,6,"Chinese_Traditional;French;Galician;German;Portuguese;Spanish",TRUE,7,TRUE,0.926331895687577,"Chinese_Traditional:鴨;French:canard;Galician:pato;German:Ente;Portuguese:pato;Spanish:pato"
"airplane",12,6,"French;Galician;Portuguese;Russian;Spanish;Turkish",TRUE,7,FALSE,0.925029033529714,"French:avion;Galician:avión;Portuguese:avião;Russian:самолёт;Spanish:avión;Turkish:uçak"
"guitar",12,6,"Dutch;French;Italian;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.924604709023361,"Dutch:gitaar;French:guitare;Italian:chitarra;Portuguese:guitarra;Russian:гитара;Spanish:guitarra"
"knife",12,7,"Chinese_Traditional;French;Galician;Italian;Russian;Spanish;Turkish",FALSE,7,TRUE,0.920769773418625,"Chinese_Traditional:刀;French:couteau;Galician:coitelo;Italian:coltello;Russian:нож;Spanish:cuchillo;Turkish:bıçak"
"onion",12,6,"Chinese_Simplified;Chinese_Traditional;French;Italian;Portuguese;Spanish",TRUE,7,TRUE,0.91918082653903,"Chinese_Simplified:洋葱;Chinese_Traditional:蔥;French:oignon;Italian:cipolla;Portuguese:cebola;Spanish:cebolla"
"truck",12,6,"French;Galician;Italian;Portuguese;Spanish;Turkish",TRUE,7,FALSE,0.91427376309653,"French:camion;Galician:camión;Italian:camion;Portuguese:Camião;Spanish:camión;Turkish:kamyon"
"jacket",12,6,"French;Galician;German;Russian;Spanish;Turkish",TRUE,7,TRUE,0.911502425888975,"French:veste;Galician:chaqueta;German:Jacke;Russian:пиджак;Spanish:chaqueta;Turkish:ceket"
"shark",12,6,"Chinese_Traditional;German;Italian;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.909446666141829,"Chinese_Traditional:鯊;German:Hai;Italian:squalo;Portuguese:tubarão;Russian:акула;Spanish:tiburón"
"arm",12,6,"Chinese_Traditional;French;Galician;Italian;Portuguese;Spanish",TRUE,7,TRUE,0.897138276701388,"Chinese_Traditional:臂;French:bras;Galician:brazo;Italian:braccio;Portuguese:braço;Spanish:brazo"
"ball",12,6,"Chinese_Traditional;Dutch;French;German;Portuguese;Spanish",TRUE,7,TRUE,0.89066446256332,"Chinese_Traditional:球;Dutch:bal;French:balle;German:Ball;Portuguese:bola;Spanish:pelota"
"hotel",12,6,"Chinese_Simplified;German;Italian;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.88658798225299,"Chinese_Simplified:宾馆;German:Hotel;Italian:hotel;Portuguese:hotel;Russian:гостиница;Spanish:hotel"
"tree",12,6,"French;Galician;German;Italian;Portuguese;Spanish",TRUE,7,TRUE,0.885854105221052,"French:arbre;Galician:árbore;German:Baum;Italian:albero;Portuguese:árvore;Spanish:árbol"
"grass",12,6,"Chinese_Traditional;French;German;Italian;Spanish;Turkish",TRUE,7,TRUE,0.884962201030926,"Chinese_Traditional:草;French:herbe;German:Gras;Italian:erba;Spanish:hierba;Turkish:ot"
"cake",12,6,"Chinese_Traditional;French;German;Portuguese;Spanish;Turkish",TRUE,7,TRUE,0.883267384905355,"Chinese_Traditional:餅;French:gâteau;German:Torte;Portuguese:bolo;Spanish:pastel;Turkish:pasta"
"cat",12,6,"Chinese_Traditional;French;Galician;Italian;Portuguese;Spanish",TRUE,7,TRUE,0.883185837259622,"Chinese_Traditional:貓;French:chat;Galician:gato;Italian:gatto;Portuguese:gato;Spanish:gato"
"key",12,6,"French;Galician;German;Italian;Portuguese;Spanish",TRUE,7,TRUE,0.881556555122555,"French:clé;Galician:chave;German:Taste;Italian:chiave;Portuguese:chave;Spanish:llave"
"lion",12,6,"Dutch;French;Italian;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.880305550859511,"Dutch:leeuw;French:lion;Italian:leone;Portuguese:leão;Russian:лев;Spanish:león"
"bird",12,6,"French;Galician;Italian;Portuguese;Russian;Turkish",TRUE,7,FALSE,0.874071397278974,"French:oiseau;Galician:ave;Italian:uccello;Portuguese:pássaro;Russian:птица;Turkish:kuş"
"tear",12,6,"Chinese_Traditional;French;Galician;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.870085459456807,"Chinese_Traditional:淚;French:larme;Galician:bágoa;Portuguese:lágrima;Russian:слеза;Spanish:lágrima"
"skirt",12,6,"Chinese_Traditional;French;Galician;Italian;Russian;Spanish",TRUE,7,TRUE,0.868379519404201,"Chinese_Traditional:裙;French:jupe;Galician:saia;Italian:gonna;Russian:юбка;Spanish:falda"
"moon",12,6,"Chinese_Traditional;Dutch;Italian;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.865779135733004,"Chinese_Traditional:月;Dutch:maan;Italian:luna;Portuguese:lua;Russian:луна;Spanish:luna"
"car",12,6,"Chinese_Traditional;French;Galician;Italian;Portuguese;Spanish",TRUE,7,TRUE,0.854150217684182,"Chinese_Traditional:車;French:voiture;Galician:auto;Italian:automobile;Portuguese:carro;Spanish:coche"
"flag",12,6,"Dutch;Galician;German;Italian;Portuguese;Turkish",TRUE,7,TRUE,0.847600677857043,"Dutch:vlag;Galician:bandeira;German:Flagge;Italian:bandiera;Portuguese:bandeira;Turkish:bayrak"
"bone",12,6,"Chinese_Traditional;French;Galician;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.841802051584009,"Chinese_Traditional:骨;French:os;Galician:óso;Portuguese:osso;Russian:кость;Spanish:hueso"
"doctor",12,6,"Chinese_Simplified;Galician;Italian;Portuguese;Russian;Spanish",TRUE,7,FALSE,0.841720223814311,"Chinese_Simplified:医生;Galician:doutor;Italian:dottore;Portuguese:doutor;Russian:доктор;Spanish:doctora"
"head",12,6,"Chinese_Traditional;French;Galician;Italian;Portuguese;Russian",TRUE,7,TRUE,0.838383050878184,"Chinese_Traditional:頭;French:tête;Galician:cabeza;Italian:testa;Portuguese:cabeça;Russian:голова"
"beach",12,6,"Chinese_Traditional;French;Galician;German;Italian;Portuguese",TRUE,7,TRUE,0.821954985982797,"Chinese_Traditional:灘;French:plage;Galician:praia;German:Strand;Italian:spiaggia;Portuguese:praia"
"meat",12,6,"Chinese_Traditional;French;Portuguese;Russian;Spanish;Turkish",TRUE,7,TRUE,0.818137501629872,"Chinese_Traditional:肉;French:viande;Portuguese:carne;Russian:мясо;Spanish:carne;Turkish:et"
"box",12,6,"Chinese_Traditional;French;German;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.817466142395751,"Chinese_Traditional:盒;French:boîte;German:Kasten;Portuguese:caixa;Russian:коробка;Spanish:cuadro"
"cigarette",12,6,"Chinese_Simplified;French;Galician;Portuguese;Russian;Spanish",TRUE,7,FALSE,0.814446705747128,"Chinese_Simplified:香烟;French:cigarette;Galician:cigarro;Portuguese:cigarro;Russian:сигарета;Spanish:cigarrillo"
"house",12,6,"French;Galician;Italian;Portuguese;Spanish;Turkish",TRUE,7,FALSE,0.812106527960767,"French:maison;Galician:casa;Italian:abitazione;Portuguese:Casa;Spanish:casa;Turkish:ev"
"rabbit",12,6,"Chinese_Traditional;French;Italian;Portuguese;Russian;Spanish",TRUE,7,TRUE,0.809116773076421,"Chinese_Traditional:兔;French:lapin;Italian:coniglio;Portuguese:coelho;Russian:кроличий;Spanish:conejo"
"school",12,6,"Galician;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,7,FALSE,0.801207232195865,"Galician:colexio;Italian:scuola;Portuguese:escola;Russian:школа;Spanish:escuela;Turkish:okul"
