word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,concrete_mean,concrete_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd,avaliability_mean,avaliability_sd,rt_mean,rt_sd,accuracy_mean,accuracy_sd
成熟,mature,2.54,1.85,6.4,0.5,4.14,1.98,5.08,0.67,4.73,2.15,5,1.03,564.41,51.9,0.903,0.025
城管,city guard,1.91,1.95,7.64,1.18,4.32,0.26,4.7,1.05,4.68,1.92,4.41,0.92,521.17,31.68,0.907,0.062
惩罚,punishments,1.7,1.05,6.9,0.65,3.43,1.84,2.43,1.19,5.23,1.26,5.2,0.77,576.78,33.8,0.935,0.07
池塘,pond,5.15,1.04,4.41,0.59,5.76,1.29,5.68,1.25,5.38,0.97,5.28,1.12,583.81,27.72,0.882,0.04
耻辱,shame,2.41,1.29,5.09,1.51,3.82,0.93,3.18,0.57,5.17,1,6.47,1.93,508.93,61.84,0.959,0.019
翅膀,wing,3.17,2.31,5.46,0.88,4.71,1.68,5,1.33,4.26,1.29,5.11,1.04,532.86,48.55,0.925,0.053
充沛,abundant,6.56,0.47,5.27,0.63,7.1,1.74,6.8,2.06,7.04,0.96,6.52,0.81,505.03,26.97,0.926,0.026
憧憬,hopeful,5.13,2.25,4.67,1.06,6.63,1.12,6.2,0.61,7.14,1.88,6.41,0.53,541.96,61.14,0.941,0.043
仇敌,enemy,2.45,1.73,5.05,1.45,5.86,1.5,4.55,1.87,6.37,1.96,5.47,1.1,554.53,48.34,0.927,0.04
仇人,enemy,1.26,1.99,7.34,1.97,4.31,1.69,3.97,1.5,4.81,2.17,5.22,1.28,561.15,60.87,0.925,0.047
绸缎,silk,5.6,2.06,5.77,0.77,4.72,1.85,5.8,2.08,4.68,0.61,5.57,0.56,551.61,53.12,0.953,0.068
酬金,commision,5.06,2.13,5.88,1.14,6.34,1.76,6.51,1.43,6.4,2.04,6.66,0.97,523.6,26.87,0.876,0.064
酬劳,rewards,2.11,0.42,7.06,1.29,5.43,0.85,5,0.74,5.32,1.13,5.54,1.57,515.7,32.43,0.897,0.035
愁苦,bitterness,1.68,1.46,5.45,0.96,4.41,1.43,2.27,1.12,5.21,0.36,5,1.88,550.12,39.54,0.907,0.058
丑陋,ugly,2.09,0.36,7.71,1.03,3.57,1.35,3.18,0.54,5.81,1.3,6.16,1.42,581.69,34.49,0.958,0.051
丑闻,scandle,6.83,0.46,5.6,0.45,6.68,0.91,5.32,1.49,6.96,1.46,6.43,0.55,549.75,62.53,0.878,0.071
出殡,death march,2.4,1.38,8.07,0.55,3.37,0.35,2.77,0.64,6.45,0.42,5.16,1.93,545.29,32.55,0.921,0.058
出轨,love affair,1.71,1.58,6.68,1.1,6.04,0.77,2.11,0.93,6.87,1.48,6.37,1.44,572.27,31.93,0.875,0.012
出嫁,marry out,3.43,1.29,5.63,0.73,6.73,0.51,6.83,1.5,7.74,2.09,6.97,1.76,580.9,42.08,0.91,0.008
处分,split equal,3.05,2.16,7.14,0.81,6.6,1.26,4.23,2.02,7.19,1.82,6.35,0.69,639.48,60.33,0.896,0.041
处治,deal with,1.67,1.56,7.17,1.12,4.83,1.76,4.34,1.11,4.39,1.66,5.22,1.09,494.62,56.69,0.88,0.019
触犯,infringe,2.07,1.31,6.43,0.46,3.8,1.8,3.47,1.07,6.03,0.74,5.71,0.4,564.25,34.48,0.903,0.045
传染,contaminous,1.5,0.57,6.17,0.52,2.83,1.98,3.3,2.04,4.14,1.61,4.33,1.86,505.37,36.97,0.895,0.024
传统,tradition,4.85,1.23,6.05,2.07,6.39,1.7,6.46,0.89,7.63,2.14,6.54,0.3,516.58,42.14,0.875,0.046
创伤,hurt,2.39,1.46,6.73,0.82,3.5,0.86,3.8,0.62,4.23,0.61,4.3,1.36,545.7,42.11,0.927,0.033
创新,innovative,7.47,1.82,5.03,1.75,7.1,1.11,6.6,1.71,7.42,0.37,6.49,0.31,508.31,63.58,0.919,0.041
垂钓,go fishing,4.24,2.24,4.17,1.53,5.98,1.74,6.17,1.49,6.12,1.96,5.6,0.59,531.94,42.48,0.882,0.053
垂柳,willow tree,1.98,2.15,6.97,1.85,6.2,1.15,6.37,1.18,6.67,1.5,6.7,0.5,595.08,32.25,0.885,0.055
春光,spring view,5.23,1.2,5.59,1.78,5.86,1.64,5.32,1.37,4.58,1.14,4.58,1.49,510.55,25.62,0.938,0.062
春联,spring couplets,6.95,1.94,5.64,0.93,5.41,0.3,5.36,1.03,3.67,1.3,3.38,0.25,538.71,46.1,0.931,0.014
春雨,spring rain,7.04,2.11,6,0.67,4.46,1.74,5.5,1.25,4.54,1.38,5.47,1.61,549.83,51.35,0.877,0.012
祠堂,ancestral hall,2.78,1.99,4.83,1.95,6.08,0.4,5.78,1.68,6.58,1.66,5.95,1.2,640.29,61.65,0.899,0.041
瓷器,porcelain,4.69,0.91,4.42,0.54,5.58,0.42,4.58,1.28,5.91,1.26,6.05,0.8,522.43,33.62,0.941,0.04
辞职,quit job,2.31,0.71,6.08,1.07,4.47,1.32,5.78,0.99,5.86,1.86,5.49,1.01,587.4,44.97,0.883,0.008
慈母,loving mother,6.44,1.19,3.06,0.96,7.08,1.27,7.06,1.1,7.19,0.66,7.56,1.62,628.16,22.6,0.943,0.048
丛林,woods,5.14,1.91,5,0.59,6.43,1.86,5.79,1.15,8.28,2.02,7.59,1.66,597.5,31.21,0.885,0.067
粗糙,rough,2.36,1.02,6.05,1.18,3.68,0.7,3,0.99,3.74,1.08,4.08,1.94,519.1,62,0.901,0.037
粗俗,vulgar,1.93,1.5,6.29,0.61,2.79,1.76,3.18,1.08,5.46,1.18,5.32,0.41,576.5,56.09,0.96,0.036
猝死,sudden death,1.53,0.87,8.58,0.62,7.33,1.27,6.86,1.4,7.4,1.02,7.05,0.35,618.96,43.31,0.872,0.007
痤疮,pimples,2.72,1.1,6.43,0.63,3.52,1.49,4.45,0.78,4.62,1.26,5.43,1.48,531.48,46.63,0.911,0.028
措施,measures,5.46,1.89,5.91,1.96,4.46,1.94,5.51,2.1,4.32,1.14,4.78,1.09,586.13,34.53,0.954,0.016
打架,fight,2.32,1.86,7.73,1.34,4.73,1.75,3.59,0.6,4.39,1.96,4.55,2,533.65,37.71,0.925,0.034
大雁,swallow,7.18,1.07,5.32,1.85,4,1.57,4.69,0.94,5.19,0.49,5.03,0.86,573.25,59.31,0.956,0.027
大雨,heavy rain,4.78,0.38,5.49,1.69,6.22,1.29,5.29,0.85,6.69,2.22,5.25,1.84,535.2,50.87,0.933,0.051
歹徒,gangster,6.23,0.81,4.97,1.06,6.2,1.3,5.77,1.29,6.96,2.18,6.23,1.79,610.17,56.09,0.93,0.063
淡雅,classy and modest,1.78,0.87,6.72,1.92,4.31,1.82,7.89,1.91,5.58,1.14,5.91,1.35,586.92,30.99,0.879,0.016
刀痕,knife cut,1.64,1.95,5.05,1.75,3.41,1.46,1.5,1.26,4.5,1.12,4.58,1.4,549.15,60.03,0.889,0.041
导弹,missile,2.06,1.51,6.48,0.7,4.77,1.74,4.86,1.42,3.71,1.73,4.03,0.62,559.57,59.73,0.872,0.07
倒塌,fall down,2.2,1.3,6.5,1.42,3.13,0.31,3.33,0.69,4.07,2.14,5.01,1.52,590.84,57.52,0.91,0.022
盗版,piracy,1.89,1.23,7.75,0.85,3.82,1,3.09,1.59,4.74,1.24,3.74,1.66,570.59,58.29,0.937,0.052
道德,moral,6.25,1.57,4.32,0.45,4.75,1.99,4.57,1.35,4.74,1.08,5.59,0.9,515.46,56.74,0.941,0.023
道理,reasonable words,4.47,1.68,5.17,1.46,4.37,1.84,5.34,0.73,4.22,0.94,4.76,0.5,507.33,61.93,0.922,0.018
敌人,ennemy,2.43,1.46,6.37,1.79,4.37,0.87,4.57,0.56,6.29,1.69,5.67,0.77,472.68,59.44,0.919,0.026
地图,map,5.14,1.79,5.27,1.12,5.09,0.25,4.49,0.83,4.65,1.82,5.24,0.93,529.61,62.36,0.909,0.025
地震,earth quake,3.63,1.53,5.57,0.66,4.83,0.58,4.06,0.69,5.98,1.73,6.21,0.47,539.08,40.18,0.953,0.031
典礼,ceremony,6.2,2.14,5.23,1.09,7.4,0.93,7.87,0.86,8.09,1.7,7.17,1.31,587.15,36.65,0.922,0.055
冻疮,frost bite,1.45,1.87,6.59,0.85,2.73,0.31,2.14,1,3.79,1.57,3.97,1.57,565.28,47.73,0.959,0.037
斗殴,fight,1.41,1.8,7.55,1.62,4.5,1.1,4.39,1.89,5.14,1.48,4.93,0.69,513.18,46.34,0.882,0.067
毒贩,drug dealer,1.58,1.67,6.19,0.57,5.18,0.77,3.69,1.37,6,0.89,6.05,1.17,527.09,26.29,0.871,0.06
毒瘤,poisonous tumor,5.85,0.86,5.2,1.85,5.73,0.5,4,1.67,5.95,1.59,5.08,1.46,552.37,59.07,0.905,0.021
毒蛇,poisonous snake,1.83,2.25,7.31,0.79,4.14,1.58,3.83,1.28,4.89,2.09,5.76,0.34,515.9,37.71,0.873,0.066
毒药,poison,2.23,1.76,7.27,1.17,5,1.82,2.55,0.85,4.53,1.23,4.5,1.63,541.86,53.97,0.906,0.066
堵车,traffic jam,2.89,1.81,5.91,1.2,5.27,0.41,3.72,1.79,6.32,0.79,6.19,1.8,561.82,24.17,0.931,0.013
度假,on vacation,1.95,2.18,7.55,1.11,4.23,1.21,7.14,0.92,4.86,1.72,6,1.04,507.81,26.88,0.907,0.058
恶魔,devil,1.68,2,5.9,1.47,4.24,1.66,4.76,1.76,4.2,1.52,4.26,1.88,577.74,24.52,0.9,0.045
恩师,mentor,5.17,1.08,4.97,0.78,4.56,1.89,5.72,1.34,5.23,1.38,5.42,1.6,579.94,31.78,0.89,0.049
耳环,ear ring,2.54,0.6,5.37,0.96,5,1.4,5.5,1.22,4.34,2.17,4.37,0.67,565.39,40.73,0.894,0.04
发财,make a fortune,3.22,0.63,4.11,1.46,5.58,0.5,6.69,1.72,6.07,1.19,5.95,1.55,591.47,59.82,0.938,0.037
发芽,sprout,4.06,0.44,5.63,1.89,5.03,1.37,5.06,1.71,4.4,2.12,5,1.3,571.92,50.87,0.89,0.044
罚单,ticket for traffic,4.5,2.16,5.41,1.47,4.77,0.76,4.2,1.11,6.54,0.67,6.14,0.78,520.66,33.25,0.875,0.042
法规,regulations,4.53,1.28,4.17,0.71,4.47,1.37,4.58,1.35,4.72,1.23,4.72,1.78,489.49,51.86,0.934,0.044
法制,law and order,2.83,0.47,5.12,0.97,4.24,0.61,5.46,1.61,3.78,1.53,4.42,1.16,495.75,48.78,0.918,0.027
帆船,sailing boat,4.89,0.53,2.86,0.76,4.72,0.79,5.64,1.56,4.67,0.51,5.33,0.82,589.26,22.35,0.94,0.031
番茄,tomato,5.03,1.53,4.56,0.71,6.11,0.42,4.93,0.85,6.89,2.13,6.2,0.4,582.92,61.2,0.884,0.055
繁华,prosper,5.43,0.94,5.79,0.89,4.89,1.86,5.61,1.6,5,1.81,6.07,1.82,548.08,52.76,0.931,0.009
繁荣,flourish,2.82,1.41,5.75,1.18,4.07,1.87,5.11,0.57,3.73,1.4,5.41,1.53,573.79,49.6,0.956,0.026
犯人,prisoner,6.17,1.57,5.89,1.15,6.83,0.3,5.31,1.3,7.05,2.12,6.93,1.73,626.34,48.04,0.92,0.048
飞镖,dart,2.12,0.54,5.28,0.78,4.17,0.67,5.4,1.94,4.75,0.81,5.19,1.39,561.19,45.73,0.918,0.056
妃嫔,concubine,3.94,0.35,4.57,1.07,6.49,0.87,6,1.12,6.95,0.89,6.46,1.12,638.8,60.26,0.893,0.021
肥田,fertile land,4.94,0.77,3.69,1.27,4.29,1.76,5.32,1.48,4.81,0.49,5.56,1.66,492.78,56.2,0.885,0.029
匪徒,bandits,1.31,0.66,6.39,1.51,4.08,0.63,3.83,1.2,6.09,0.52,5.6,0.82,578.84,62.59,0.916,0.051
诽谤,sniping,3.1,1.16,5.03,2.04,3.5,0.99,3.36,1.88,5.32,1,5.22,1.94,532.94,34.36,0.882,0.069
翡翠,jade,5.5,2.06,5.39,0.9,7.06,1.38,6.42,1.98,6.44,1.05,6.23,0.4,618.49,63.94,0.952,0.054
废品,trash,4,1.55,4.59,0.99,4.64,1.84,4.59,0.58,5.34,0.42,5.34,0.51,546.11,48.56,0.89,0.046
废墟,ruins,2.53,1.9,6.8,1.65,3.03,1.84,3.7,1.78,4.01,1.11,4.17,1.64,488.31,41.85,0.88,0.032
分手,breaking up,1.97,1.94,5.93,1.27,5.63,0.29,4.03,1.03,7.32,1.23,5.74,1.04,638.34,59.78,0.887,0.036
焚烧,burn,2.13,1.29,6.9,1.74,4.93,1.19,5.63,2.02,5.84,1.15,5.81,1.12,497.68,27.77,0.901,0.063
