word_russian,pos,translate_word_english,n,valid_n,percent_known,aoa_mean,aoa_sd,frequency,frequency_zipf,concrete_mean_grigoriev2022,concrete_soloviev2022_1000,concrete_mean_soloviev2022_500,imagine_mean_grigoriev2009,imagine_mean_tsaparina2011,imagine_mean_pashneva2014,imagine_mean_akinina2014,familiar_mean_tsaparina2011,familiar_mean_grigoriev2010,familiar_mean_pashneva2014
авантюра,s,"adventure; risky venture, scheme",28,28,1,12,2.567604446,5.5,2.83,3.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
авантюризм,s,adventurism,21,21,1,13.19047619,2.293884208,1.2,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авантюрист,s,adventurer,25,25,1,12.08,2.612789059,4.1,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авантюрный,a,adventurous; adventure,20,20,1,10.4,2.927186542,2.3,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аварийность,s,"accident rate, failure rate",20,20,1,10.65,2.134306247,1.3,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аварийный,a,"emergency, crash, breakdown",20,20,1,8.45,1.700619082,12.5,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авария,s,"accident, breakdown, crash",24,24,1,6.083333333,2.165272684,29.6,4.11,5.090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA
август,s,August (month),20,20,1,4.925,1.837296355,91,4.28,NA,2.230769231,NA,NA,NA,NA,NA,NA,NA,NA
августовский,a,August,20,20,1,8.25,3.369757136,5.6,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиабаза,s,air base,20,19,0.95,10.57894737,3.005842265,2.3,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиабилет,s,airline ticket,24,24,1,10.04166667,2.422344654,1.7,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиабомба,s,aerial bomb,22,22,1,11.31818182,3.371962317,0.7,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиадиспетчер,s,air traffic controller,30,30,1,11.46666667,2.459791599,0.7,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиазавод,s,aircraft factory,23,22,0.956521739,9.409090909,3.187163105,0.6,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиакатастрофа,s,"air disaster, plane crash",20,20,1,9.3,2.341839133,1.1,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиакомпания,s,"airline, airline company",20,20,1,9.4,2.835860586,10.9,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиалайнер,s,airliner,21,21,1,11.66666667,2.516611478,1.2,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиалиния,s,"airline, air route",28,27,0.964285714,11.22222222,2.900044208,2.3,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авианосец,s,aircraft carrier,20,19,0.95,9.842105263,2.544343572,3,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиаперевозка,s,"air transportation, air freight",20,20,1,9.35,2.814903943,1.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиаперевозчик,s,air carrier,20,20,1,10.5,2.837715909,0.8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиарейс,s,flight (air travel),20,20,1,9.15,3.422449108,0.6,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиасалон,s,air show,21,21,1,11,2.19089023,1.5,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиастроение,s,aircraft manufacturing,20,19,0.95,10.52631579,2.195156817,0.8,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиатехник,s,aircraft technician,20,20,1,10.95,2.543826376,1.1,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиатор,s,"aviator, pilot",21,19,0.904761905,10.94736842,2.320768173,1.8,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиационный,a,aviation,20,20,1,8.25,2.510504248,28.6,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авиация,s,"aviation, air force",23,23,1,10.69565217,2.548346748,38.8,3.97,NA,NA,2.383333333,NA,NA,NA,NA,NA,NA,NA
авитаминоз,s,"avitaminosis, vitamin deficiency",20,18,0.9,14.16666667,2.955553098,1,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авокадо,s,avocado,20,20,1,12.3,4.554927927,0.8,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авоська,s,"string bag, mesh bag",24,22,0.916666667,10.22727273,3.308456958,4.9,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аврал,s,"rush job, all-hands effort",20,10,0.5,13.5,2.635231383,1.3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авральный,a,"emergency, crash",20,9,0.45,14.44444444,2.127857556,0.9,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автобаза,s,"motor vehicle pool, vehicle depot",21,21,1,9.571428571,3.457910186,1.4,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автобиографический,a,autobiographical,21,21,1,10.9047619,2.527939119,3,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автобиография,s,autobiography,21,21,1,11.23809524,2.755081885,4,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автобус,s,bus,21,21,1,5,2.323790008,64.8,4.54,6.888888889,1.543478261,NA,6.7,4.76,NA,1.07,4.36,4.65,NA
автобусный,a,bus,20,20,1,6.65,2.254235779,7.3,3.16,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
автовладелец,s,car owner,20,20,1,11.55,3.663116303,2.6,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автовокзал,s,"bus station, bus terminal",20,20,1,7.25,3.274703683,1,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автогонки,s,car racing,20,20,1,7.85,2.739093204,1.7,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автогонщик,s,race car driver,20,20,1,7.65,2.033275812,0.7,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автограф,s,autograph,20,20,1,9.1,2.447340124,10.3,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автодорога,s,"highway, motor road",21,21,1,6.761904762,2.586595483,2.7,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автозавод,s,"automobile plant, car factory",20,20,1,8.95,3.034451307,4.3,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автозаправка,s,"gas station, petrol station",20,20,1,9.75,4.327087266,0.4,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автозаправочный,a,"gas station, fueling",24,22,0.916666667,8.636363636,2.71758742,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автокатастрофа,s,"car accident, car crash",21,21,1,8.571428571,2.749025801,1.9,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автоколонна,s,"motorcade, convoy of vehicles",21,21,1,10,2.213594362,1.2,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автокомбинат,s,"vehicle fleet complex, motor transport combine",20,18,0.9,11.22222222,2.579456294,0.4,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автокран,s,crane truck,22,22,1,10.31818182,4.224490543,1.1,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автолавка,s,"mobile shop, traveling store",20,18,0.9,11.16666667,3.222165877,0.5,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автомагистраль,s,"motorway, freeway, highway",20,20,1,10.1,3.385728562,1.4,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автомастерская,s,"car repair shop, auto repair shop",20,20,1,8.5,2.56494588,0.6,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автомат,s,automatic machine; vending machine; submachine gun,20,20,1,7.15,2.719810365,56,4.06,NA,2.267857143,NA,NA,NA,NA,1.56,NA,NA,NA
автоматизация,s,automation,26,26,1,12.80769231,2.498307119,8.5,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автоматизированный,a,automated,20,20,1,11.95,2.645253943,11.2,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автоматизировать,v,to automate,28,28,1,12.67857143,2.776269432,2.1,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автоматизм,s,automatism,23,23,1,13,2.393172106,1.6,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автоматика,s,"automation (devices), automatic controls",20,20,1,8.8,2.930780388,4.9,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автоматически,adv,automatically,28,28,1,10.42857143,2.201490597,20,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автоматический,a,automatic,20,20,1,8.45,1.904979624,24,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автоматный,a,(tech.) automatic (relating to a machine/mechanism); (mil.) assault rifle,20,20,1,10.7,3.41975684,4.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автомашина,s,"automobile, car",25,24,0.96,5.791666667,2.377049078,10.4,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автомеханик,s,auto mechanic,20,20,1,11.25,3.697438658,0.5,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автомобилестроение,s,"automotive industry, car manufacturing",20,20,1,12.65,2.368099393,1.6,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автомобилист,s,"motorist, car driver",21,21,1,6.904761905,2.300103517,3.8,3.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автомобиль,s,"car, automobile",20,20,1,4.8,1.472555959,156.9,4.66,NA,1.511627907,NA,NA,NA,NA,1.11,NA,NA,NA
автомобильный,a,"automobile, car",24,24,1,7.291666667,1.944427191,34,3.89,5.222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
автономия,s,"autonomy, self-government",20,19,0.95,12.84210526,1.803181075,8.9,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автономно,adv,autonomously,24,24,1,12.45833333,2.718362145,1.4,2.91,4.055555556,NA,NA,NA,NA,NA,NA,NA,NA,NA
автономность,s,autonomy (the quality),21,21,1,12.19047619,3.530142315,1.1,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автономный,a,autonomous,20,20,1,12.5,4.006573546,22.1,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автоответчик,s,answering machine,20,20,1,10.85,3.923948066,2.9,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автопарк,s,"fleet of vehicles, motor pool",21,21,1,9.80952381,4.069632018,1.3,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автопилот,s,autopilot,20,20,1,10.6,3.10178217,7.4,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автопортрет,s,self-portrait,20,20,1,9.35,3.150187964,1.8,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автор,s,author,21,21,1,6.142857143,2.128044038,262.1,5.13,NA,1.735849057,NA,NA,NA,NA,NA,NA,NA,NA
авторемонтный,a,auto repair,20,19,0.95,11.05263158,3.117578908,0.8,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автореферат,s,"abstract (of a dissertation), author's summary",20,18,0.9,14.5,4.047511945,2.3,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авторизация,s,authorization,26,26,1,10.73076923,2.706402665,0.5,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авторизованный,a,authorized,21,20,0.952380952,14.45,3.516502449,0.7,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авторитарность,s,authoritarianism,20,18,0.9,13.55555556,2.381848571,0.4,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авторитарный,a,authoritarian,21,18,0.857142857,13.44444444,3.257971621,3.7,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авторитет,s,"authority, prestige, influential person",21,21,1,10.66666667,2.921186973,37.1,4.01,NA,NA,3.295081967,NA,NA,NA,NA,NA,NA,NA
авторитетнейший,a,most authoritative,20,20,1,12.95,4.346504948,0.5,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авторитетно,adv,authoritatively,26,26,1,9.807692308,2.577118247,1.9,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авторитетность,s,"authoritativeness, prestige",20,20,1,11.45,2.799906013,0.5,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авторитетный,a,"authoritative, reputable",20,20,1,10.75,2.76966652,12.1,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авторский,a,author's,21,21,1,10.28571429,3.378503473,27.1,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авторство,s,authorship,25,25,1,9.44,2.484619354,4.6,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авторучка,s,fountain pen,20,20,1,7.7,2.451637476,3.8,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автосалон,s,"car dealership, car showroom",20,20,1,8.95,3.831654858,4.3,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автосервис,s,"car service, auto service",20,20,1,12,4.712804506,2.1,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автоспорт,s,motor sports,20,20,1,10.15,3.558163335,2.8,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автостоянка,s,"parking lot, car park",20,20,1,7.55,2.684752267,3.4,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автострада,s,"(another word for) highway, freeway",23,21,0.913043478,9.333333333,2.955221368,2.5,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автотранспорт,s,"motor transport, road transport",20,20,1,7.7,2.054520049,5.4,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автотрасса,s,"highway, motorway",20,20,1,9.15,2.601113122,0.7,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автофургон,s,"van, delivery truck",20,20,1,10.55,4.751454071,0.6,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
автошкола,s,driving school,21,21,1,10.76190476,3.845838815,0.8,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агат,s,agate,20,19,0.95,10,3.605551275,0.8,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агглютинация,s,agglutination,20,3,0.15,14,6.557438524,NA,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аггравация,s,aggravation (exaggeration of symptoms),20,6,0.3,16.66666667,1.966384161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агент,s,agent,20,20,1,8.65,2.230765741,39.2,4.4,NA,NA,2.216666667,NA,NA,NA,NA,NA,NA,NA
агентский,a,agent's,22,22,1,11.09090909,4.308453384,1,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агентство,s,agency,21,21,1,9.857142857,3.229329873,49.1,4.38,NA,NA,1.833333333,NA,NA,NA,NA,NA,NA,NA
агентура,s,"agents (collectively), intelligence network",21,19,0.904761905,12.36842105,3.483461342,3.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агентурный,a,"agent, intelligence-related",20,17,0.85,13.64705882,4.091777983,2.4,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агитатор,s,"agitator, campaigner",23,22,0.956521739,14.36363636,2.036464129,3.2,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агитационный,a,"agitational, propagandistic",20,20,1,14.9,2.198085291,2.4,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агитация,s,"agitation, campaigning, propaganda",24,22,0.916666667,12.22727273,2.524769073,8.7,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агитировать,v,"to agitate, to campaign, to persuade",25,24,0.96,13.33333333,2.389590954,3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агитка,s,propaganda leaflet/poster (often derogatory),21,11,0.523809524,16.81818182,4.468068527,0.5,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агломерат,s,agglomerate,20,9,0.45,16.22222222,2.386303511,0.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агностик,s,agnostic,20,13,0.65,15.69230769,2.810237694,0.5,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агностицизм,s,agnosticism,21,12,0.571428571,15.75,2.220769727,NA,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агонизировать,v,to agonize,24,11,0.458333333,14.72727273,1.793929156,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агония,s,agony,20,20,1,13.2,3.138890183,3.1,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аграрий,s,"agriculturist, farmer",20,16,0.8,14.75,3.890158523,3.3,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аграрный,a,"agrarian, agricultural",21,21,1,13.66666667,3.183289703,10,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агрегат,s,"aggregate, unit, assembly",21,21,1,11,3.563705936,18.5,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агрегатный,a,aggregate,20,19,0.95,14.05263158,3.390733847,1,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агрегирование,s,aggregation,23,10,0.434782609,16.7,4.922736366,0.5,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агрегированный,a,aggregated,20,11,0.55,16.09090909,3.884701931,0.6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агрессивно,adv,aggressively,23,23,1,7.739130435,2.416183905,3,3.56,4.266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
агрессивность,s,aggressiveness,20,20,1,9.4,3.234680493,4.2,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агрессивный,a,aggressive,20,20,1,9.55,2.874113136,15.9,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агрессия,s,aggression,20,20,1,10.5,2.910959328,13.1,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агрессор,s,aggressor,20,20,1,10.3,3.246050231,3.5,2.84,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
агроном,s,agronomist,20,20,1,11.05,2.605156829,5.4,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агрономический,a,agronomic,21,20,0.952380952,13.6,2.72222819,0.7,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агрономия,s,agronomy,20,20,1,13.45,3.663116303,0.4,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агропромышленный,a,agro-industrial,23,23,1,13.08695652,2.429235635,3.7,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
агротехника,s,"agricultural technology, farming techniques",20,20,1,13.35,3.013565819,0.6,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ад,s,hell,20,20,1,7.55,2.416500297,23.7,4.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
адажио,s,adagio (music),20,12,0.6,14.75,4.769696007,0.4,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
адаптационный,a,adaptation,20,20,1,14.9,3.726152241,0.6,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
адаптация,s,adaptation,23,23,1,11.65217391,2.65618824,12.6,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
адаптер,s,adapter,26,26,1,10.88461538,2.643133339,0.6,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
адаптированный,a,adapted,21,21,1,12.42857143,3.325228241,2.3,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
адаптировать,v,to adapt,20,20,1,11,2.492092758,3.8,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
адаптироваться,v,"to adapt (oneself), to adjust",24,24,1,12,2.604344197,4,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
адвентист,s,Adventist,20,10,0.5,13.4,1.897366596,0.4,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
