cues,AFSS,BOI,Concrete,n_previous,needs_norming
labrador,58,5.074074074,4.35,37,No
lace,20,4.869565217,4.85,28,Yes
lad,35,4.36,4.28,27,Yes
ladder,32,6.117567568,5,33,No
ladle,31,4.84,4.9,28,Yes
lady,43,5.32,4.33,28,Yes
ladybug,30,4.875,4.92,26,Yes
lager,28,4.695652174,4.64,26,Yes
lake,36,5.035714286,4.88,35,No
lamb,35,4.444444444,4.97,34,No
lambskin,23,4.416666667,4.72,32,No
lamp,24,6.083333333,4.97,26,Yes
lamplight,44,4.291666667,4.8,38,No
lamplighter,12,4.263157895,4.24,25,Yes
lampshade,30,5.296296296,4.82,31,No
lance,28,4.571428571,4.07,29,Yes
land,54,5.56,4.57,35,No
landlady,34,4.76,4.22,26,Yes
landscape,42,4.384615385,4.34,30,No
lantern,33,5.653846154,5,30,No
lanyard,32,5.416666667,4.46,30,No
lapdog,45,4.739130435,4.31,32,No
larvae,20,4.375,4.62,30,No
laryngoscope,28,4.411764706,4.48,26,Yes
lasso,32,5.555555556,4.74,32,No
latch,35,5.541666667,4.79,35,No
latex,21,5.086956522,4.77,36,No
latrine,30,6.333333333,4.62,25,Yes
laundry,24,6.208333333,4.93,25,Yes
lavatory,34,5.620689655,4.81,26,Yes
lawn,38,5.695652174,4.93,27,Yes
lawyer,37,4.625,4.7,33,No
laxative,33,5.206896552,4.07,33,No
leaf,56,5.584345479,5,61,No
leaflet,46,5.956521739,4.31,29,Yes
leash,24,5.708333333,4.89,26,Yes
leather,37,5.576923077,4.82,31,No
ledge,35,4.541666667,4.72,35,No
ledger,31,4.583333333,4.36,28,Yes
leech,25,4.291666667,4.33,27,Yes
leftovers,36,5.625,4.48,33,No
leg,44,5.875,4.83,28,Yes
leggings,26,6.130434783,4.86,26,Yes
lei,32,5.058823529,4.83,32,No
lemon,50,6.08,5,28,Yes
lemonade,21,5.409090909,4.83,28,Yes
lens,25,5.115384615,4.64,30,No
leopard,41,5.260869565,5,30,No
leotard,41,5.363636364,4.74,29,Yes
letter,52,5.259259259,4.7,34,No
letterbox,26,4.56,4.6,26,Yes
lettuce,27,6.083333333,4.97,29,Yes
lever,27,5.038461538,4.77,25,Yes
library,38,4.391304348,4.8,26,Yes
lice,28,5,4.73,26,Yes
licence,45,4.76,4.57,29,Yes
lid,49,5.428571429,4.96,40,No
lifeboat,29,5.333333333,4.48,29,Yes
lifebuoy,28,4.260869565,4.65,26,Yes
lifeguard,23,4.96,4.47,26,Yes
lighthouse,31,4.791666667,4.96,26,Yes
lilac,38,5,4.69,34,No
lily,31,4.884615385,4.69,53,No
limb,49,5.703703704,4.64,30,No
lime,24,5.52,4.96,55,No
limeade,20,4.75,4.44,25,Yes
limestone,39,4.565217391,4.59,33,No
limousine,33,5.565217391,4.63,27,Yes
linen,35,5.875,4.8,33,No
lingerie,37,5.72,4.87,37,No
linoleum,29,4.62962963,4.85,27,Yes
lint,22,5.04,4.96,37,No
lip,31,5.52173913,4.96,33,No
lipstick,32,5.928571429,4.9,35,No
liqueur,25,5.666666667,4.64,34,No
liquid,47,5.260869565,4.72,32,No
liquor,25,5.961538462,4.73,27,Yes
litter,33,5.034482759,4.47,34,No
livestock,25,5.041666667,4.7,27,Yes
lizard,24,4.925925926,4.68,30,No
llama,43,4.75,4.78,35,No
loaf,20,4.458333333,4.79,33,No
lobbyist,47,4.4,3.71,34,No
lobe,32,4.47826087,4.44,29,Yes
lobster,37,4.92,4.86,28,Yes
lock,24,5.173913043,4.65,27,Yes
locker,17,5.538461538,4.67,32,No
locket,30,5.333333333,4.82,39,No
locksmith,28,4.8,4.54,35,No
lodge,47,4.833333333,4,33,No
lodging,29,4.620689655,4.37,33,No
log,30,5.692307692,4.96,28,Yes
logbook,39,5.565217391,4.54,38,No
loin,38,4.391304348,4.38,31,No
loincloth,28,4.833333333,4.88,31,No
lollipop,33,6.48,4.96,25,Yes
longbow,27,5.285714286,4.96,33,No
loo,30,4.952380952,4.2,27,Yes
lotion,48,6.28,4.79,38,No
loudspeaker,29,4.625,4.82,26,Yes
lounge,41,4.714285714,3.96,30,No
lounger,27,4.692307692,4.04,29,Yes
lovebird,30,4.4,4.62,27,Yes
lozenge,36,5.4,4.59,26,Yes
lubricant,21,5.76,4.52,28,Yes
lubrication,30,4.333333333,3.62,28,Yes
luggage,31,5.304347826,4.83,33,No
lumber,48,5.217391304,4.56,35,No
lump,37,4.5,4.56,28,Yes
lunch,34,6.043478261,4.31,27,Yes
lunchroom,46,4.565217391,4.63,27,Yes
lyre,24,4.45,4.23,29,Yes
macaroni,31,5.62962963,4.97,28,Yes
macaroon,52,4.346153846,4.96,37,No
mace,40,5.12,4.81,26,Yes
machete,34,5.791666667,4.82,60,No
machine,47,5.791666667,4.25,28,Yes
machinery,35,5.416666667,4.75,35,No
magazine,45,6.166666667,5,35,No
maggot,27,4.44,4.97,26,Yes
magician,36,4.5,4.21,34,No
magnet,24,5.615384615,4.7,28,Yes
magnolia,22,5.416666667,4.71,27,Yes
maid,34,4.458333333,4.64,37,No
maiden,32,4.44,4.24,26,Yes
maidservant,27,4.333333333,4.39,30,No
mail,50,6.125,4.69,33,No
mailbag,31,5.041666667,4.89,37,No
maize,30,5.416666667,4.58,33,No
makeup,57,6,4.45,37,No
male,53,5.5,4.45,32,No
mall,32,4.36,4.83,37,No
mallard,35,4.772727273,4.27,24,Yes
mallet,33,5.56,4.93,28,Yes
mammal,59,5.291666667,4.59,33,No
man,72,5.346153846,4.79,34,No
mandolin,38,5.304347826,4.76,29,Yes
mango,35,6.24,5,33,No
manhole,37,4.72,4.7,33,No
manicure,45,4.730769231,4.39,35,No
manicurist,44,4.916666667,4.11,27,Yes
mannequin,33,4.48,4.53,35,No
mansion,37,4.52173913,4.89,59,No
mantel,25,5,4.64,26,Yes
mantelpiece,26,4.285714286,3.76,28,Yes
mantle,27,4.807692308,4.57,30,No
manure,34,4.708333333,4.64,26,Yes
manuscript,32,5.083333333,4.57,26,Yes
map,39,5.481481481,4.93,28,Yes
maple,39,4.32,4.46,34,No
marble,37,5.48,4.85,34,No
marbles,28,5.75,4.96,27,Yes
margarine,15,5.56,4.58,26,Yes
marigold,38,4.75,4.59,28,Yes
marijuana,40,6.04,4.89,38,No
marionette,34,4.333333333,4.63,27,Yes
marketeer,31,4.5,3.71,30,No
marksman,29,4.291666667,4.12,28,Yes
marmalade,23,6.041666667,4.83,35,No
marshmallow,43,6.173913043,4.85,38,No
mascara,21,5.703703704,4.93,26,Yes
mascot,34,4.32,4.2,28,Yes
mask,28,5.92,4.96,25,Yes
masseuse,26,5.086956522,4.56,56,No
mat,42,5.814814815,4.83,33,No
match,23,4.565217391,4.14,26,Yes
matchbox,18,5.875,4.78,29,Yes
matchstick,29,6.103448276,4.96,35,No
mathematician,37,4.272727273,4.38,28,Yes
mattress,36,6.72,5,27,Yes
mayonnaise,34,5.523809524,4.9,68,No
mayor,38,4.28,4.37,31,No
me,88,5.708333333,4.33,29,Yes
meadow,39,4.391304348,4.86,30,No
meal,44,5.958333333,4.62,27,Yes
meat,31,5.52173913,4.9,25,Yes
medal,43,5.608695652,4.89,32,No
medallion,34,5.541666667,4.68,26,Yes
medic,30,5.217391304,4.43,60,No
medicine,48,5.692307692,4.79,60,No
megaphone,20,6.2,4.76,27,Yes
melon,45,5.681818182,4.78,32,No
memo,39,5.04,4.25,37,No
memorabilia,38,4.434782609,4.15,28,Yes
men,35,5.72,4.75,26,Yes
mentor,46,4.347826087,3.7,34,No
menu,34,5.869565217,4.67,35,No
merchandise,32,5.833333333,4.52,27,Yes
merchant,22,4.5,4.31,31,No
merchantman,19,4.5,4.19,32,No
metal,32,5.130434783,4.87,30,No
metalworker,29,4.8,4.18,25,Yes
meteorologist,31,4.875,4.56,27,Yes
mice,35,5,4.84,28,Yes
microphone,40,6.043478261,4.88,28,Yes
microscope,32,5.721024259,5,28,Yes
microwave,24,5.28,4.34,27,Yes
midget,39,4.821428571,4.4,26,Yes
midwife,36,5,4.56,32,No
milk,20,5.956521739,4.92,27,Yes
milkshake,35,6.4,4.97,30,No
mincemeat,27,5.083333333,4.36,28,Yes
minister,38,4.84,4.22,37,No
mink,31,4.904761905,4.58,33,No
minnow,14,4.416666667,4.84,26,Yes
mint,34,5.76,4.54,33,No
mirror,30,6.086956522,4.97,26,Yes
mistletoe,18,4.592592593,4.85,34,No
mistress,46,5,4.22,33,No
mitt,22,6.08,4.76,36,No
mitten,22,6.041666667,4.89,27,Yes
mixer,35,5,4.33,37,No
moccasin,20,5.458333333,4.78,26,Yes
model,28,5.086956522,4.53,27,Yes
molasses,33,5,4.84,35,No
mommy,38,5.434782609,4.07,26,Yes
money,36,6.291666667,4.54,29,Yes
moneybags,39,5,3.85,39,No
mongoose,42,4.5,4.89,32,No
monk,45,5.173913043,4.35,39,No
monument,46,4.52,4.58,28,Yes
moonshine,35,5.260869565,4.46,28,Yes
mop,24,6.192307692,4.97,26,Yes
morsel,24,4.833333333,4.19,33,No
mortician,27,4.833333333,4.3,30,No
mosquito,40,4.4,4.88,31,No
moss,37,4.565217391,4.9,25,Yes
motel,37,4.48,4.93,31,No
moth,33,4.84,4.69,25,Yes
mothball,24,5.12,4.62,30,No
mother,47,5.52,4.6,24,Yes
motor,37,4.92,4.84,30,No
motorbike,36,6.347826087,4.79,26,Yes
motorboat,40,5.304347826,4.93,34,No
motorcycle,41,5.555555556,4.97,32,No
motorcyclist,48,4.52,4.79,25,Yes
motorist,35,5.12,4.72,36,No
mountain,37,4.307692308,4.96,26,Yes
mountainside,47,4.708333333,4.48,26,Yes
mouse,25,5.24,4.83,27,Yes
mousetrap,17,4.916666667,5,25,Yes
mousse,29,5.260869565,4.83,28,Yes
moustache,36,5.347826087,4.96,28,Yes
mouth,36,6.304347826,4.74,26,Yes
mouthpiece,36,5.304347826,4.66,28,Yes
mouthwash,27,6.230769231,4.67,27,Yes
mucus,25,4.88,4.76,57,No
mud,31,5.56,4.86,25,Yes
muffin,30,5.875,4.78,30,No
muffler,35,4.75,4.68,30,No
mug,38,6.13900135,4.8,27,Yes
mulberry,48,4.703703704,4.48,29,Yes
mulch,24,4.625,4.59,30,No
mule,37,4.318181818,5,26,Yes
mullet,22,4.518518519,4.78,60,No
mum,39,4.416666667,4.11,29,Yes
munitions,34,4.80952381,3.82,30,No
muscle,55,5.12,4.5,39,No
museum,42,4.333333333,4.6,28,Yes
mushroom,37,5.333333333,4.83,26,Yes
musician,43,4.47826087,4.42,31,No
musket,29,5.217391304,4.67,30,No
mustache,31,5.620689655,4.9,26,Yes
mustard,36,5.8,4.93,38,No
mutt,48,4.958333333,3.89,34,No
mutton,22,5,4.25,27,Yes
muzzle,27,4.391304348,4.59,33,No
myself,67,5.038461538,2.97,29,Yes
nail,31,5.541666667,4.93,25,Yes
nameplate,30,4.84,4.52,26,Yes
nanny,23,4.6,4.21,31,No
napkin,34,6.333333333,4.93,27,Yes
narcotics,49,4.956521739,4.59,37,No
neck,42,6.12,5,36,No
neckband,24,5.217391304,4.77,31,No
neckerchief,32,5.347826087,4.5,28,Yes
necklace,31,5.821428571,4.96,37,No
necktie,30,6.043478261,4.96,33,No
neckwear,31,5.652173913,4.56,34,No
nectar,43,4.608695652,4.63,36,No
needle,30,5.739130435,4.93,60,No
needlepoint,35,4.576923077,4.48,24,Yes
needlework,31,4.692307692,4.41,26,Yes
negligee,29,4.75,4.48,26,Yes
nephew,39,5.16,4.48,29,Yes
net,21,5.208333333,4.53,25,Yes
nettle,35,4.529411765,3.88,25,Yes
neurologist,32,4.384615385,4.1,34,No
newlyweds,22,4.772727273,3.79,32,No
newsagent,38,4.333333333,4.41,27,Yes
newsboy,31,4.869565217,4.42,25,Yes
newscaster,21,4.347826087,4.5,29,Yes
newsletter,42,5.826086957,4.66,36,No
newsman,35,4.285714286,4.26,35,No
newspaper,80,5.76,4.82,39,No
newspaperman,36,4.48,4.5,36,No
newsprint,40,4.260869565,4.62,27,Yes
newsstand,31,5.458333333,4.71,29,Yes
newt,29,4.391304348,4.17,32,No
nickel,28,5.814814815,4.79,35,No
nightcaps,34,4.708333333,4.07,33,No
nightclub,28,4.409090909,4.96,28,Yes
nightdress,30,5.791666667,4.62,26,Yes
nightgown,29,5.92,4.9,25,Yes
nightie,18,5.62962963,4.3,25,Yes
nightlight,35,4.821428571,4.93,29,Yes
nightshirt,29,6.291666667,5,27,Yes
nipple,33,5.625,4.83,26,Yes
noodle,35,6.24,4.71,55,No
noose,27,4.708333333,4.52,26,Yes
nose,32,6,4.89,26,Yes
nostril,26,5.208333333,4.89,35,No
note,46,5.434782609,4.61,34,No
notepaper,42,5.392857143,4.78,26,Yes
novel,34,5.4,4.21,28,Yes
nugget,36,4.826086957,4.45,27,Yes
nun,27,4.666666667,4.92,27,Yes
nurse,42,5.130434783,4.39,37,No
nursemaid,26,4.583333333,4.5,27,Yes
nursery,29,4.875,4.48,27,Yes
nut,37,5.555555556,4.52,36,No
nutcracker,32,5.36,4.81,59,No
nutmeg,31,4.608695652,4.69,28,Yes
nutshell,24,4.375,4.29,28,Yes
nylon,35,4.928571429,4.7,38,No
oar,41,5.307692308,4.84,26,Yes
oat,22,4.8,5,37,No
object,55,6.416666667,3.66,28,Yes
obstetrician,31,5.04,4.31,29,Yes
ocean,36,5.217391304,4.86,27,Yes
oceanographer,35,4.44,3.97,27,Yes
offspring,48,4.913043478,3.93,35,No
oilcan,46,4.782608696,4.62,34,No
oilcloth,34,5.125,4.4,28,Yes
ointment,27,5.869565217,4.5,30,No
okra,30,5.269230769,4.78,26,Yes
olive,35,6.173913043,4.9,29,Yes
omelet,25,5.6,4.93,57,No
onion,34,5.476190476,4.86,32,No
opal,25,4.6,4.42,29,Yes
ophthalmologist,38,4.423076923,4.32,26,Yes
opium,41,4.269230769,4.56,31,No
optician,27,4.851851852,4.68,27,Yes
orange,40,5.08,4.66,34,No
orchard,33,4.333333333,4.75,30,No
orchid,26,4.68,4.92,28,Yes
ore,31,4.375,4.48,26,Yes
oregano,28,5.64,4.81,35,No
organ,44,5.185185185,4.77,28,Yes
organism,27,4.727272727,4.16,26,Yes
orgy,28,4.782608696,3.67,26,Yes
ornament,34,6.181818182,4.04,34,No
orphan,37,5.259259259,4.04,34,No
orthodontist,27,4.916666667,4.43,25,Yes
ottoman,28,5.833333333,4.9,27,Yes
outfielder,20,4.6,4.67,26,Yes
outfit,56,6.130434783,4.12,34,No
outhouse,26,4.64,4.89,31,No
outlet,23,4.541666667,4.31,32,No
oven,21,5.923076923,4.97,24,Yes
overcoat,31,6.52,4.5,37,No
oxtail,26,4.444444444,4.5,30,No
oyster,25,5.407407407,4.85,25,Yes
pacemaker,28,4.363636364,4.68,32,No
pacifier,32,6.090909091,4.61,32,No
package,46,5.75,4.72,28,Yes
packaging,39,5.038461538,4.44,29,Yes
packet,42,4.52173913,4.46,32,No
pad,39,5.217391304,4.43,33,No
padding,38,4.925925926,4.52,28,Yes
paddle,33,5.68,4.8,27,Yes
padlock,24,6.08,4.92,26,Yes
page,37,4.96,4.9,31,No
pail,37,4.772727273,4.93,28,Yes
painkiller,31,5.518518519,4.18,29,Yes
paint,35,5.090909091,4.79,26,Yes
paintbox,27,4.44,4.65,28,Yes
paintbrush,32,5.56,4.79,27,Yes
pajamas,25,6.222222222,4.73,61,No
pal,40,4.333333333,3.93,34,No
pallet,31,4.36,4.59,26,Yes
palm,49,5.44,4.83,29,Yes
pamphlet,49,5.565217391,4.61,28,Yes
pan,44,6.409090909,4.86,37,No
panhandler,30,4.92,4,37,No
pantaloons,29,4.695652174,4.79,28,Yes
panties,26,5.791666667,4.9,29,Yes
pantry,14,5.260869565,4.67,32,No
pants,36,6.333333333,4.86,27,Yes
paper,61,5.695652174,4.93,36,No
paperback,39,5.090909091,4.57,34,No
paperhanger,23,4.625,4.04,29,Yes
paperweight,23,5.291666667,4.78,27,Yes
paprika,31,4.428571429,5,31,No
parachute,42,4.68,4.78,26,Yes
parachutist,30,4.6,4.3,27,Yes
parakeet,38,5.12,4.9,31,No
paraphernalia,28,4.5,3.67,28,Yes
paratrooper,42,4.291666667,4.89,27,Yes
parcel,39,5.583333333,4.81,27,Yes
parchment,32,4.681818182,4.48,27,Yes
parent,45,5.04,4.56,27,Yes
parka,30,5.875,4.65,31,No
parsley,37,5.434782609,4.77,28,Yes
parsnip,32,5.666666667,4.85,26,Yes
partner,49,5.230769231,3.53,38,No
passenger,28,5.08,4.34,30,No
passionflower,24,4.782608696,4.72,27,Yes
passport,30,5,5,27,Yes
pasta,33,5.72,4.86,29,Yes
pastrami,17,5.142857143,4.74,26,Yes
pastry,41,6.086956522,4.97,30,No
path,30,4.37037037,4.41,34,No
patrolman,36,4.814814815,4.67,35,No
paw,38,5,4.3,27,Yes
pea,38,5.777777778,4.9,33,No
peach,22,5.88,4.9,27,Yes
peacock,36,4.8,5,32,No
peanut,27,6.192307692,4.89,34,No
peanuts,42,6.12,4.9,31,No
pear,35,5.72,4.93,26,Yes
pearl,28,5.555555556,4.87,25,Yes
peashooter,24,4.84,4.28,28,Yes
pebble,24,5.47826087,4.86,29,Yes
pecan,29,5.5,4.87,27,Yes
pedal,33,5.04,4.44,31,No
pedestal,37,4.88,4.48,31,No
pedestrian,18,4.962962963,4.41,26,Yes
pedicurist,39,5.137931034,4.04,32,No
pedometer,26,5.681818182,4.93,25,Yes
peel,18,4.458333333,4.61,25,Yes
peelings,23,4.652173913,4.27,34,No
peephole,28,4.875,4.74,24,Yes
peg,26,4.391304348,4.93,25,Yes
pegboard,23,5.04,4.93,30,No
pellet,33,4.296296296,4.56,28,Yes
pelvis,39,5.72,4.93,28,Yes
pen,39,6.64,4.92,27,Yes
pencil,39,5.869565217,4.88,37,No
pendant,22,5.791666667,4.75,32,No
penknife,33,5.833333333,4.83,30,No
pennant,24,5.153846154,4.37,26,Yes
penny,35,6.448275862,4.83,37,No
penthouse,46,4.333333333,4.36,28,Yes
peony,36,4.333333333,4.48,27,Yes
people,56,6.076923077,4.82,33,No
pepper,38,5.875,4.59,36,No
peppercorn,20,5.181818182,4.89,34,No
peppermint,29,5.391304348,4.43,26,Yes
pepperoni,19,5.875,5,29,Yes
perfume,34,4.96,4.66,36,No
periscope,25,4.653846154,4.78,27,Yes
peroxide,17,4.555555556,4.93,27,Yes
person,54,6.12,4.72,34,No
perspiration,25,4.826086957,4.81,28,Yes
pet,53,6.214285714,4.71,39,No
petal,45,5.75,4.57,26,Yes
phalanges,56,4.35,4.61,27,Yes
pharmacist,35,5.041666667,4.03,37,No
pharmacy,35,5.083333333,4.78,30,No
phone,54,6.5,4.86,26,Yes
phonograph,41,4.423076923,4.59,30,No
photocopier,25,6.12,4.72,27,Yes
photocopy,27,4.260869565,4.5,28,Yes
photograph,39,5.875,4.89,26,Yes
physician,39,5.12,4.65,33,No
physiologist,40,4.75,4.25,27,Yes
piano,24,6.166666667,4.9,27,Yes
piccolo,34,4.956521739,4.71,34,No
pickaxe,24,5.333333333,4.93,26,Yes
pickle,38,5.730769231,4.64,33,No
picnicker,25,4.458333333,4.32,26,Yes
picture,44,5.32,4.52,26,Yes
picture frame,40,NA,4.61,30,No
pie,43,5.869565217,4.92,39,No
piercing,38,5,4.15,36,No
pig,37,4.56,5,29,Yes
piglet,38,4.68,4.93,26,Yes
pigtail,25,4.958333333,4.67,35,No
pike,44,4.590909091,4.25,27,Yes
pilaf,28,4.7,4.2,26,Yes
pill,31,6.36,4.72,32,No
pillar,26,5.041666667,4.77,36,No
pillow,36,6.391304348,5,28,Yes
pillowcase,38,5.92,4.93,33,No
pilot,27,4.52173913,4.67,28,Yes
pimento,44,4.769230769,4.64,26,Yes
pimple,28,5.72,4.77,34,No
pin,35,5.88,4.92,25,Yes
pinball,29,5.782608696,4.48,28,Yes
pincushion,31,5.260869565,4.69,32,No
pine,34,4.347826087,4.37,34,No
pineapple,32,6.304347826,4.94,32,No
pinecone,40,5.821428571,4.85,37,No
pinewood,26,4.541666667,4.74,27,Yes
pinkie,45,5.260869565,4.39,34,No
pinwheel,36,5.8,4.66,35,No
pipe,32,5.653846154,4.88,26,Yes
pistachio,46,5.541666667,4.93,39,No
pistol,38,5.260869565,4.89,27,Yes
pitcher,24,5.259259259,4.93,28,Yes
pitchfork,37,5.681818182,5,26,Yes
pizza,36,6.541666667,5,28,Yes
placard,42,4.458333333,4.46,28,Yes
placenta,35,4.28,4.79,29,Yes
plaintiff,29,4.375,3.9,37,No
plane,47,5.458333333,4.92,37,No
plank,36,4.92,5,27,Yes
planner,33,4.916666667,3.61,27,Yes
plant,38,5.652173913,4.76,28,Yes
plantain,25,5.409090909,4.42,27,Yes
planter,20,4.666666667,4.61,26,Yes
plaque,40,4.52,4.7,29,Yes
plaster,21,4.4,4.59,28,Yes
plastic,34,5.04,4.79,57,No
plate,36,5.590909091,4.77,31,No
platform,27,4.579514825,4.48,30,No
platter,28,5.75,4.93,29,Yes
player,37,4.72,4.15,35,No
playground,34,4.695652174,4.77,34,No
playhouse,24,4.869565217,4.72,28,Yes
playroom,26,4.52,4.71,34,No
playsuit,35,5.36,3.96,29,Yes
plaything,31,4.92,3.68,27,Yes
playwright,26,4.28,3.56,26,Yes
plexiglas,25,5.041666667,4.8,27,Yes
pliers,41,6.086956522,4.93,36,No
plow,36,5,4.46,34,No
plug,25,5.875,4.64,29,Yes
plum,34,5.62962963,4.85,28,Yes
plumber,28,4.44,4.63,30,No
plywood,35,4.807692308,4.82,32,No
pocket,22,5.407407407,4.68,24,Yes
pocketbook,16,5.884615385,5,30,No
pocketknife,38,5.692307692,4.93,36,No
podiatrist,34,4.791666667,4.63,30,No
poet,28,4.565217391,4.36,29,Yes
poinsettia,34,5.347826087,4.92,31,No
poker,39,4.590909091,4.2,31,No
pole,36,5.32,4.66,31,No
police,50,4.739130435,4.79,35,No
policeman,39,5.428571429,4.93,30,No
policewoman,42,4.904761905,4.89,34,No
politician,40,4.409090909,4.33,28,Yes
polyester,30,5.086956522,4.12,35,No
pomegranate,39,5.391304348,4.86,34,No
pompom,27,5.16,4.68,34,No
poncho,35,5.458333333,4.97,39,No
pond,41,4.5,4.9,26,Yes
pony,39,5.375,4.9,28,Yes
pooch,26,5.045454545,4.32,27,Yes
poodle,36,5.652173913,4.89,27,Yes
pool,34,6.041666667,4.77,34,No
poop,41,5.88,4.83,26,Yes
popcorn,47,6,5,38,No
porch,38,4.44,4.92,36,No
pork,31,4.916666667,4.79,26,Yes
porridge,35,4.80952381,4.89,37,No
portfolio,50,4.8,4,38,No
portrait,36,4.272727273,4.9,28,Yes
postage,28,4.32,4.37,34,No
postcard,43,5.76,4.93,28,Yes
poster,44,5.583333333,4.66,32,No
postman,33,4.913043478,4.74,34,No
postmaster,37,5.2,4.59,29,Yes
pot,49,6.16,4.81,38,No
potato,35,5.6,4.85,32,No
potboiler,20,4.84,4.16,25,Yes
potpourri,18,5.333333333,4.59,25,Yes
pottery,35,5.458333333,4.72,28,Yes
potty,20,5.037037037,4.12,26,Yes
pouch,24,5.178571429,4.5,25,Yes
poultry,44,4.826086957,4.72,29,Yes
powder,46,5.416666667,4.76,33,No
powderpuff,41,4.923076923,4.35,31,No
powerboat,35,5.782608696,4.76,35,No
practitioner,36,4.5,3.89,27,Yes
prankster,24,4.642857143,3.59,28,Yes
preschooler,31,4.409090909,4.33,29,Yes
present,34,4.32,3.39,26,Yes
pretzel,30,6.04,4.74,25,Yes
priest,25,4.56,4.77,25,Yes
primate,41,4.375,4.5,43,No
primrose,32,4.368421053,4.08,33,No
printout,49,5.2,4.53,27,Yes
prisoner,47,4.307692308,4.11,32,No
prize,28,4.916666667,4.45,29,Yes
produce,32,5.565217391,3.31,29,Yes
programmer,31,4.695652174,3.86,28,Yes
projector,25,5.086956522,4.64,29,Yes
proofreader,36,4.36,3.82,35,No
prop,37,5.125,4.46,56,No
propeller,35,4.36,4.9,31,No
proprietor,30,4.884615385,4.24,27,Yes
prosecutor,41,4.64,4.24,30,No
prosthesis,36,4.689655172,4.19,28,Yes
prostitute,32,5,4.28,25,Yes
protester,38,4.8,3.96,26,Yes
protractor,29,5.434782609,4,26,Yes
prune,35,5.074074074,4.7,26,Yes
pub,34,4.666666667,4.71,34,No
publication,32,4.48,4.41,28,Yes
publisher,20,4.44,4.24,26,Yes
puck,28,4.608695652,4.5,32,No
pudding,34,5.958333333,4.9,33,No
puddle,36,5,4.67,27,Yes
pug,31,5.965517241,4.62,27,Yes
puke,24,4.5,4.59,31,No
pulley,43,5.208333333,4.74,32,No
pullover,27,4.56,4.32,32,No
pulp,28,5.208333333,4.3,25,Yes
pumice,25,4.857142857,3.85,27,Yes
pump,22,4.347826087,4.31,36,No
pumpernickel,27,5.130434783,4.77,27,Yes
pumpkin,29,5.708333333,4.9,25,Yes
punchbowl,37,5.25,4.85,27,Yes
punter,24,4.464285714,4.07,26,Yes
pup,27,5.44,4.61,30,No
pupil,22,4.8,4.55,26,Yes
puppet,42,5.739130435,4.64,33,No
puppy,54,6.25,4.78,34,No
purse,36,6.291666667,4.9,31,No
pushcart,27,5.272727273,4.25,32,No
putty,37,5,4.48,29,Yes
puzzle,28,5.44,4.75,30,No
quadriceps,38,4.5,4.36,31,No
quarter,43,5.333333333,4.43,35,No
quarterback,35,4.346153846,4.61,26,Yes
quarters,31,5.909090909,4.57,27,Yes
questionnaire,36,4.461538462,4.24,30,No
quiche,33,5.727272727,4.53,25,Yes
quill,26,4.565217391,5,29,Yes
quilt,32,5.826086957,5,27,Yes
rabbit,34,5,4.93,24,Yes
racehorse,35,5.208333333,4.83,35,No
rack,22,4.68,4.48,34,No
racket,28,5.24,4.26,29,Yes
radiator,20,5.217391304,4.78,26,Yes
radio,32,5.291666667,4.74,27,Yes
radiologist,28,4.913043478,4.52,34,No
radish,35,5.846153846,4.87,33,No
raft,46,5.36,5,31,No
rag,39,5.666666667,4.67,40,No
rail,31,5.517241379,4.9,27,Yes
railroad,26,4.333333333,5,27,Yes
rain,40,4.958333333,4.97,56,No
raincoat,35,5.954545455,5,36,No
raindrop,29,5.208333333,4.89,31,No
rainwater,36,5.407407407,4.64,29,Yes
raisin,33,5.64,4.97,34,No
rake,29,6.136363636,4.84,34,No
ramp,33,4.666666667,4.69,37,No
rancher,39,4.68,4.83,27,Yes
raspberry,38,5.884615385,4.93,27,Yes
rat,34,4.608695652,4.85,31,No
rattle,29,4.409090909,4.07,26,Yes
razor,24,6.12,4.9,35,No
receipt,49,5.28,4.86,72,No
receptacle,23,4.863636364,4.58,26,Yes
receptionist,34,4.68,4.36,27,Yes
record,34,4.75,4.15,25,Yes
recorder,25,5.8,4.43,28,Yes
recruiter,29,4.347826087,4,32,No
rectum,37,5.041666667,4.92,34,No
reefer,25,4.52173913,4.54,25,Yes
refrigerator,29,5.851851852,5,28,Yes
reindeer,33,4.5,4.7,33,No
remote,39,4.357142857,3.44,36,No
repairer,21,4.583333333,4.29,35,No
reptile,24,5,4.47,27,Yes
residence,46,4.333333333,4.34,37,No
respirator,29,4.923076923,4.56,26,Yes
restaurant,38,5.275862069,4.89,26,Yes
retriever,26,4.96,4.15,25,Yes
revolver,41,5.555555556,4.69,30,No
rhinestone,27,5.291666667,4.82,33,No
rhubarb,31,5.260869565,4.86,28,Yes
rib,24,5.92,4.9,28,Yes
ribbon,26,6.375,4.89,26,Yes
rice,34,6.291666667,4.86,25,Yes
rifle,42,5.958333333,4.85,29,Yes
rind,27,5.130434783,4.48,28,Yes
ring,41,6.130434783,4.81,28,Yes
rink,32,4.333333333,4.56,35,No
river,43,4.64,4.89,29,Yes
riverbank,28,4.64,4.68,27,Yes
riverboat,33,5.52,4.9,28,Yes
roach,29,4.708333333,4.96,33,No
road,30,5.896551724,4.75,30,No
roadway,37,4.565217391,4.67,33,No
